"SamAccountName","UserPrincipalName","Status","Details","TargetOU","Groups","ExpectedGPOs","Permissions"
"grace.clarke","grace.clarke@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local","",""
"thomas.hill","thomas.hill@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"amber.robinson","amber.robinson@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"olivia.jones","olivia.jones@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local","",""
"charles.scott","charles.scott@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"alice.johnson","alice.johnson@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local","",""
"alfred.hughes","alfred.hughes@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"lily.roberts","lily.roberts@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"amber.roberts","amber.roberts@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"emma.johnson","emma.johnson@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local","",""
"noah.clark","noah.clark@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"ethan.clark","ethan.clark@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"alice.scott","alice.scott@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local","",""
"charlotte.baker","charlotte.baker@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local","",""
"michael.ward","michael.ward@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"lucy.roberts","lucy.roberts@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"alice.hughes","alice.hughes@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local","",""
"henry.baker","henry.baker@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"matthew.jones","matthew.jones@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
